Horizon,Model_A,Model_B,n,DM_star,p_value,significant_at_0.05,better_model
1,C1,C2,71,0.2896,0.773,False,tie
1,C1,C3,63,-0.222,0.825,False,tie
1,C1,C4,63,0.5296,0.5983,False,tie
1,C2,C3,63,-0.7596,0.4504,False,tie
1,C2,C4,63,0.0331,0.9737,False,tie
1,C3,C4,63,0.9234,0.3594,False,tie
2,C1,C2,71,-0.8653,0.3898,False,tie
2,C1,C3,63,-0.9408,0.3505,False,tie
2,C1,C4,63,-0.8942,0.3747,False,tie
2,C2,C3,63,-0.7228,0.4725,False,tie
2,C2,C4,63,0.0332,0.9736,False,tie
2,C3,C4,63,0.7448,0.4592,False,tie
3,C1,C2,71,1.4358,0.1555,False,tie
3,C1,C3,63,-0.6,0.5507,False,tie
3,C1,C4,63,1.4625,0.1486,False,tie
3,C2,C3,63,-2.5056,0.0149,True,C2
3,C2,C4,63,-0.8636,0.3911,False,tie
3,C3,C4,63,2.8291,0.0063,True,C4
4,C1,C2,71,-0.5903,0.5569,False,tie
4,C1,C3,63,0.7036,0.4843,False,tie
4,C1,C4,63,-0.3196,0.7503,False,tie
4,C2,C3,63,1.3845,0.1712,False,tie
4,C2,C4,63,0.2695,0.7884,False,tie
4,C3,C4,63,-1.1462,0.2561,False,tie
5,C1,C2,71,1.5546,0.1246,False,tie
5,C1,C3,63,0.5506,0.5839,False,tie
5,C1,C4,63,2.4548,0.0169,True,C4
5,C2,C3,63,-2.9901,0.004,True,C2
5,C2,C4,63,0.9219,0.3602,False,tie
5,C3,C4,63,2.2191,0.0302,True,C4
6,C1,C2,71,3.3801,0.0012,True,C2
6,C1,C3,63,0.4803,0.6327,False,tie
6,C1,C4,63,2.6845,0.0093,True,C4
6,C2,C3,63,-2.8061,0.0067,True,C2
6,C2,C4,63,-0.8306,0.4094,False,tie
6,C3,C4,63,2.8191,0.0065,True,C4
7,C1,C2,71,1.0503,0.2972,False,tie
7,C1,C3,63,1.8592,0.0677,False,tie
7,C1,C4,63,1.4199,0.1606,False,tie
7,C2,C3,63,2.268,0.0268,True,C3
7,C2,C4,63,1.5023,0.1381,False,tie
7,C3,C4,63,-1.4688,0.1469,False,tie
