Horizon,Model_A,Model_B,n,DM_star,p_value,significant_at_0.05,better_model,p_value_holm,significant_holm_at_0.05
1,C1,C2,230,1.9791,0.049,True,C2,1.0,False
1,C1,C3,230,1.4688,0.1432,False,tie,1.0,False
1,C1,C4,230,1.0475,0.296,False,tie,1.0,False
1,C2,C3,230,-0.2353,0.8142,False,tie,1.0,False
1,C2,C4,230,-0.8954,0.3715,False,tie,1.0,False
1,C3,C4,230,-0.6896,0.4911,False,tie,1.0,False
2,C1,C2,230,0.0984,0.9217,False,tie,1.0,False
2,C1,C3,230,0.1946,0.8458,False,tie,1.0,False
2,C1,C4,230,1.2156,0.2254,False,tie,1.0,False
2,C2,C3,230,0.1005,0.92,False,tie,1.0,False
2,C2,C4,230,1.0008,0.318,False,tie,1.0,False
2,C3,C4,230,1.0401,0.2994,False,tie,1.0,False
3,C1,C2,230,-0.2458,0.806,False,tie,1.0,False
3,C1,C3,230,0.9951,0.3207,False,tie,1.0,False
3,C1,C4,230,-0.0845,0.9327,False,tie,1.0,False
3,C2,C3,230,1.3354,0.1831,False,tie,1.0,False
3,C2,C4,230,0.1498,0.881,False,tie,1.0,False
3,C3,C4,230,-0.8989,0.3696,False,tie,1.0,False
4,C1,C2,230,0.357,0.7214,False,tie,1.0,False
4,C1,C3,230,0.05,0.9602,False,tie,1.0,False
4,C1,C4,230,-0.2291,0.819,False,tie,1.0,False
4,C2,C3,230,-0.3828,0.7023,False,tie,1.0,False
4,C2,C4,230,-0.8893,0.3748,False,tie,1.0,False
4,C3,C4,230,-0.4154,0.6783,False,tie,1.0,False
5,C1,C2,230,1.5237,0.129,False,tie,1.0,False
5,C1,C3,230,0.6984,0.4857,False,tie,1.0,False
5,C1,C4,230,1.5925,0.1126,False,tie,1.0,False
5,C2,C3,230,-0.9255,0.3557,False,tie,1.0,False
5,C2,C4,230,-0.2121,0.8322,False,tie,1.0,False
5,C3,C4,230,0.7252,0.4691,False,tie,1.0,False
6,C1,C2,230,2.2647,0.0245,True,C2,1.0,False
6,C1,C3,230,-0.8588,0.3914,False,tie,1.0,False
6,C1,C4,230,2.2116,0.028,True,C4,1.0,False
6,C2,C3,230,-2.1674,0.0312,True,C2,1.0,False
6,C2,C4,230,-0.1701,0.8651,False,tie,1.0,False
6,C3,C4,230,2.404,0.017,True,C4,0.714,False
7,C1,C2,230,-0.4248,0.6714,False,tie,1.0,False
7,C1,C3,230,1.1834,0.2379,False,tie,1.0,False
7,C1,C4,230,1.2496,0.2127,False,tie,1.0,False
7,C2,C3,230,1.3954,0.1643,False,tie,1.0,False
7,C2,C4,230,1.9787,0.049,True,C4,1.0,False
7,C3,C4,230,0.0322,0.9744,False,tie,1.0,False
