Tanggal,Terakhir,Pembukaan,Tertinggi,Terendah,Vol.,Perubahan%
03/04/2026,"4.720,00","4.767,00","4.775,00","4.713,00",-,"-1,03%"
03/03/2026,"4.769,00","4.548,00","4.918,00","4.470,00",-,"+17,99%"
03/02/2026,"4.042,00","4.055,00","4.067,00","3.997,00",-,"-4,42%"
03/01/2026,"4.229,00","4.322,00","4.339,00","4.215,00",-,"+4,42%"
03/12/2025,"4.050,00","4.075,00","4.087,00","4.032,00",-,"-1,56%"
03/11/2025,"4.114,00","4.020,00","4.131,00","4.016,00",-,"-2,21%"
03/10/2025,"4.207,00","4.244,00","4.290,00","4.198,00",-,"-4,12%"
03/09/2025,"4.388,00","4.347,00","4.409,00","4.337,00",-,"+0,18%"
03/08/2025,"4.380,00","4.449,00","4.453,00","4.377,00",-,"+3,18%"
03/07/2025,"4.245,00","4.270,00","4.274,00","4.193,00",-,"+6,98%"
03/06/2025,"3.968,00","3.987,00","3.993,00","3.947,00",-,"+2,32%"
03/05/2025,"3.878,00","3.923,00","3.932,00","3.848,00",-,"-0,84%"
03/04/2025,"3.911,00","3.940,00","3.945,00","3.882,00",-,"-11,50%"
03/03/2025,"4.419,00","4.532,00","4.664,00","4.230,00",-,"-2,96%"
03/02/2025,"4.554,00","4.334,00","4.720,00","4.270,00",-,"+6,18%"
03/01/2025,"4.289,00","4.194,00","4.320,00","4.127,00",-,"-11,77%"
03/12/2024,"4.861,00","5.300,00","5.390,00","4.580,00",-,"-7,20%"
03/11/2024,"5.238,00","4.860,00","5.300,00","4.758,00",-,"+9,13%"
03/10/2024,"4.800,00","4.125,00","4.802,00","4.013,00",-,"+16,39%"
03/09/2024,"4.124,00","4.002,00","4.283,00","3.827,00",-,"+1,20%"
03/08/2024,"4.075,00","3.990,00","4.102,00","3.743,00",-,"+1,17%"
03/07/2024,"4.028,00","4.032,00","4.155,00","3.904,00",-,"+1,31%"
03/06/2024,"3.976,00","3.912,00","4.017,00","3.855,00",-,"-2,29%"
03/05/2024,"4.069,00","3.850,00","4.078,00","3.800,00",-,"+5,36%"
03/04/2024,"3.862,00","4.360,00","4.600,00","3.854,00",-,"-10,71%"
03/03/2024,"4.325,00","4.040,00","4.404,00","4.007,00",-,"+7,45%"
03/02/2024,"4.025,00","3.800,00","4.045,00","3.776,00",-,"+5,53%"
03/01/2024,"3.814,00","3.605,00","4.036,00","3.600,00",-,"+4,15%"
03/12/2023,"3.662,00","3.685,00","3.750,00","3.530,00",-,"-2,45%"
03/11/2023,"3.754,00","3.552,00","3.915,00","3.552,00",-,"+5,33%"
03/10/2023,"3.564,00","3.636,00","3.796,00","3.521,00",-,"-3,39%"
03/09/2023,"3.689,00","3.860,00","3.915,00","3.598,00",-,"-4,43%"
03/08/2023,"3.860,00","3.804,00","3.958,00","3.670,00",-,"+1,79%"
03/07/2023,"3.792,00","3.950,00","4.124,00","3.747,00",-,"+1,09%"
03/06/2023,"3.751,00","3.280,00","3.825,00","3.278,00",-,"+15,24%"
03/05/2023,"3.255,00","3.943,00","4.120,00","3.232,00",-,"-17,32%"
03/04/2023,"3.937,00","4.122,00","4.349,00","3.877,00",-,"-2,98%"
03/03/2023,"4.058,00","4.123,00","4.325,00","3.695,00",-,"-1,34%"
03/02/2023,"4.113,00","3.680,00","4.210,00","3.620,00",-,"+10,56%"
03/01/2023,"3.720,00","4.150,00","4.265,00","3.700,00",-,"-10,81%"
03/12/2022,"4.171,00","4.072,00","4.225,00","3.680,00",-,"+1,76%"
03/11/2022,"4.099,00","3.858,00","4.270,00","3.746,00",-,"+6,25%"
03/10/2022,"3.858,00","3.307,00","4.095,00","3.300,00",-,"+15,96%"
03/09/2022,"3.327,00","4.000,00","4.030,00","3.143,00",-,"-16,89%"
